"Date","Price","Open","High","Low","Vol.","Change %"
"02/16/2022","156.35","154.98","156.73","153.75","10.66M","1.05%"
"02/15/2022","154.72","153.54","154.85","152.51","12.73M","2.57%"
"02/14/2022","150.85","149.37","153.73","149.21","14.69M","0.92%"
"02/11/2022","149.47","153.54","154.69","148.56","17.98M","-1.77%"
"02/10/2022","152.16","156.02","157.50","151.11","42.50M","3.35%"
"02/09/2022","147.23","144.37","147.35","143.25","22.88M","3.33%"
"02/08/2022","142.48","141.79","142.89","140.74","9.23M","-0.02%"
"02/07/2022","142.51","143.39","144.09","141.61","10.94M","0.35%"
"02/04/2022","142.02","140.04","143.19","139.53","8.06M","1.42%"
"02/03/2022","140.03","140.00","142.04","139.25","9.82M","-1.82%"
"02/02/2022","142.62","144.19","144.59","141.38","9.53M","-1.29%"
"02/01/2022","144.49","143.02","144.69","142.25","8.57M","1.06%"
"01/31/2022","142.97","138.86","143.15","138.47","10.19M","3.13%"
"01/28/2022","138.63","135.21","138.69","133.56","10.01M","2.37%"
"01/27/2022","135.42","135.07","137.91","134.02","11.91M","1.36%"
"01/26/2022","133.60","137.71","138.20","132.26","14.57M","-2.13%"
"01/25/2022","136.51","135.29","137.75","132.38","14.69M","-0.69%"
"01/24/2022","137.46","134.82","137.68","129.26","31.52M","0.06%"
"01/21/2022","137.38","141.23","141.87","136.63","34.49M","-6.94%"
"01/20/2022","147.62","150.90","152.66","147.15","11.76M","-1.66%"
"01/19/2022","150.11","150.84","152.86","149.96","10.41M","-1.42%"
"01/18/2022","152.27","151.11","153.13","149.83","10.43M","0.22%"
"01/14/2022","151.94","152.35","152.62","148.41","16.83M","-2.25%"
"01/13/2022","155.44","157.70","158.53","155.17","9.68M","-1.50%"
"01/12/2022","157.80","158.50","158.99","156.33","7.00M","-0.06%"
"01/11/2022","157.89","156.62","158.22","155.95","8.04M","0.82%"
"01/10/2022","156.60","157.98","158.27","154.65","8.67M","-0.78%"
"01/07/2022","157.83","156.90","159.30","156.29","9.55M","0.59%"
"01/06/2022","156.90","156.24","157.77","153.68","11.10M","1.10%"
"01/05/2022","155.19","156.52","159.38","155.10","12.27M","-0.35%"
"01/04/2022","155.73","158.59","160.32","155.55","16.58M","-0.66%"
"01/03/2022","156.76","155.83","157.56","155.36","10.23M","1.21%"
"12/31/2021","154.89","155.87","156.57","154.74","6.41M","-0.67%"
"12/30/2021","155.93","155.71","157.07","155.51","7.23M","0.68%"
"12/29/2021","154.87","154.56","155.92","154.18","8.74M","-0.21%"
"12/28/2021","155.20","152.62","156.50","152.41","12.20M","1.57%"
"12/27/2021","152.80","152.88","154.02","151.40","7.77M","-0.54%"
"12/23/2021","153.63","152.32","154.19","151.93","6.57M","1.15%"
"12/22/2021","151.88","150.42","152.20","149.87","7.82M","0.55%"
"12/21/2021","151.05","147.56","151.43","147.39","10.78M","3.13%"
"12/20/2021","146.47","146.98","147.73","145.08","11.20M","-1.54%"
"12/17/2021","148.76","148.51","149.84","146.57","13.88M","0.01%"
"12/16/2021","148.75","151.35","152.06","148.58","11.15M","-1.10%"
"12/15/2021","150.40","148.76","150.92","147.35","12.23M","0.87%"
"12/14/2021","149.10","149.26","151.62","148.52","10.87M","-0.88%"
